15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
1,Mombasa,179.2,164.45,158.65
2,Kilifi,179.92,165.16,159.36
3,Likoni Mainland,179.56,164.81,159.01
4,Kwale,179.56,164.81,159.01
5,Malindi,180.12,165.37,159.57
6,Lungalunga,180.27,165.52,159.72
7,Voi,180.68,165.92,160.13
8,Taveta,182.09,167.34,161.54
9,Lamu,182.51,167.75,161.96
10,Hola,182.79,168.04,162.24
11,Mpeketoni,182.51,167.75,161.96
12,Minjila,181.47,166.72,160.92
13,Garsen,181.56,166.81,161.01
14,Samburu,179.51,164.74,158.95
15,Taru,179.69,164.93,159.14
16,Mwatate,181.02,166.27,160.47
17,Wundanyi,181.18,166.43,160.64
18,Kaloleni,179.37,164.6,158.81
19,Marereni,180.78,166.03,160.23
20,Nairobi,182.04,167.28,161.48
21,Thika,182.04,167.28,161.48
22,Machakos,182.28,167.51,161.71
23,Kajiado,182.46,167.69,161.89
24,Makuyu,182.33,167.56,161.76
25,Muranga,182.56,167.8,162
26,Sagana,182.78,168.02,162.22
27,Embu,183.15,168.38,162.58
28,Kerugoya,183.07,168.3,162.5
29,Narok,183.43,168.66,162.86
30,Nyeri,183.42,168.65,162.85
31,Namanga,183.59,168.82,163.02
32,Kiganjo,183.37,168.61,162.81
33,Chuka,183.68,168.91,163.11
34,Kitui,183.57,168.8,163
35,Mwingi,183.96,169.19,163.39
36,Nanyuki,183.97,169.2,163.4
15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
37,Nkubu,184.94,170.18,164.38
38,Mtito Andei,184.47,169.71,163.91
39,Meru,185.13,170.37,164.57
40,Isiolo,184.99,170.23,164.43
41,Maua,185.59,170.82,165.02
42,Garissa,186.21,171.44,165.64
43,Marsabit,189.9,175.13,169.33
44,Liboi,188.98,174.21,168.41
45,Moyale,191.47,176.71,170.91
46,Sololo,190.53,175.76,169.96
47,Habaswein,188.9,174.14,168.34
48,Dadaab,187.6,172.83,167.03
49,Tarbaj,191.15,176.39,170.59
50,Elwak,192.76,177.98,172.18
51,Wajir,191.3,176.54,170.74
52,Modogashe,189.04,174.28,168.48
53,Mandera,195.08,180.32,174.52
54,Matuu,182.94,168.17,162.38
55,Merti,187.39,172.62,166.82
56,Oldonyiro,184.4,169.64,163.84
57,Eldas,193.08,178.31,172.51
58,Bute,190.11,175.35,169.55
59,Hadado,188.71,173.94,168.14
60,Mai Mahiu,182.16,167.4,161.6
61,Doldo,184.73,169.97,164.17
62,Lamuria,183.86,169.1,163.3
63,Sipili,184.72,169.96,164.16
64,Marimanti,184.35,169.58,163.78
65,Mutuobare,183.69,168.92,163.12
66,North Horr,190.86,176.08,170.28
67,Maikona,189.46,174.7,168.9
68,Kalacha,190.01,175.25,169.45
69,Loyangalani,190.08,175.32,169.52
70,Turbi,189.89,175.12,169.32
15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
71,Laisamis,187.09,172.32,166.53
72,Merille,186.8,172.02,166.22
73,Korr,188.03,173.26,167.47
74,Nakuru,181.18,166.78,161.01
75,Gilgil,181.14,166.74,160.96
76,Mogotio,181.13,166.73,160.95
77,Molo,181.21,166.82,161.04
78,Olenguruone,181.92,167.52,161.74
79,Londiani,181.44,167.04,161.26
80,Nyahururu,181.42,167.03,161.24
81,Archers Post,184.41,170.01,164.24
82,Lodosoit,185.51,171.12,165.34
83,Naivasha,181.5,167.11,161.33
84,Marigat,181.9,167.51,161.73
85,Kabarnet ,182.39,168,162.22
86,Maralal,183.48,169.08,163.31
87,Wamba,184.32,169.93,164.15
88,Rumuruti,181.97,167.57,161.79
89,Eldoret,181.88,167.49,161.71
90,Kiplombe,181.88,167.49,161.71
91,Iten,181.88,167.49,161.71
92,Naiberi,181.88,167.49,161.71
93,Kesses,181.88,167.49,161.71
94,Kapsabet,181.89,167.5,161.72
95,Webuye,182.3,167.92,162.13
96,Kitale,182.24,167.85,162.07
97,Kapenguria ,182.88,168.48,162.7
98,Bungoma,182.65,168.25,162.46
99,Moiben,181.89,167.5,161.72
100,Matunda,181.87,167.48,161.7
101,Burnt Forest,181.83,167.43,161.65
102,Tambach,181.92,167.53,161.74
103,Kapsowar,182.39,167.99,162.22
104,Chebara,182.27,167.88,162.1
105,Kimwarer,182.2,167.8,162.02
15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
106,Timboroa,182.11,167.72,161.94
107,Nandi Hills,182.08,167.68,161.9
108,Kaiboi,181.94,167.54,161.76
109,Kiminini,182.42,168.04,162.25
110,Endebes,182.78,168.38,162.59
111,Saboti,182.45,168.06,162.28
112,Chepareria,183.08,168.7,162.91
113,Lomut,184.7,170.31,164.53
114,Burgich,183.5,169.11,163.33
115,Sigor,183.63,169.24,163.46
116,Lodwar,186.06,171.67,165.89
117,Kakuma,187.65,173.25,167.48
118,Lokichar,185.06,170.67,164.88
119,Kalokol,186.82,172.43,166.64
120,Lokori,185.43,171.03,165.25
121,Lokitaung,189.7,175.32,169.53
122,Kapedo,184.7,170.31,164.53
123,Malaba,183.05,168.65,162.87
124,Lokichogio,188.84,174.44,168.66
125,Ziwa,182.08,167.68,161.9
126,Soy,181.88,167.49,161.71
127,Moi's Bridge,181.95,167.55,161.77
128,Turbo,181.83,167.43,161.65
129,Kibish,189.94,175.54,169.77
130,Nakalale,188.76,174.37,168.59
131,Loima,185.18,170.79,165
132,Lokiriama,186.74,172.35,166.57
133,Kainuk,183.95,169.56,163.77
134,Kacheliba,183.28,168.89,163.1
135,Kiwawa,183.89,169.5,163.71
136,Ortum,183.47,169.08,163.3
137,Kachibora,182.27,167.88,162.1
138,Kwanza,182.98,168.59,162.81
139,Kaplamai,182.29,167.91,162.12
15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
140,Eldama Ravine,182.71,168.32,162.53
141,Tenges,182.85,168.46,162.68
142,Barwessa,182.96,168.58,162.79
143,Kipsaraman,183.87,169.48,163.7
144,Loruk,183.74,169.35,163.57
145,Kabartonjo,182.71,168.32,162.53
146,Tindiret,182.78,168.38,162.59
147,O'lessos,181.95,167.55,161.77
148,Kobujoi,182.35,167.95,162.17
149,Serem,182.42,168.04,162.25
150,Kabiyet,181.88,167.49,161.71
151,Cheptulu,182.3,167.92,162.13
152,Songor,182.85,168.46,162.68
153,Kapcherop,182.49,168.1,162.31
154,Sambalat,183.18,168.78,163
155,Arror,182.82,168.44,162.65
156,Tot,183.03,168.64,162.85
157,Kaptarakwa,182.08,167.68,161.9
158,Kapese,185.03,170.63,164.85
159,Kalemngorok,184.42,170.02,164.25
160,Marich,183.39,169,163.22
161,Alale,183.89,169.5,163.71
162,Kunyao,183.55,169.16,163.37
163,Asilong,183.14,168.74,162.96
164,Orolwo,183.18,168.78,163
165,Sebit,183.12,168.73,162.95
166,Morpus,183.03,168.64,162.85
167,Chepkorniswo,182.92,168.52,162.74
168,Kaibichbich,182.87,168.47,162.69
169,Keringet,182.6,168.2,162.42
170,Kisumu,181.87,167.49,161.7
171,Sondu,181.98,167.58,161.81
172,Oyugis,182.47,168.07,162.28
173,Kakamega,181.93,167.53,161.75
15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
174,Mumias,182.2,167.81,162.02
175,Bondo,182.09,167.69,161.91
176,Siaya,182.21,167.82,162.03
177,Kericho,182.38,167.99,162.21
178,Nyamira,182.44,168.06,162.27
179,Kisii,182.76,168.36,162.58
180,Sotik,182.58,168.19,162.41
181,Keroka,182.77,168.37,162.59
182,Busia,182.75,168.35,162.57
183,Homabay,182.69,168.3,162.52
184,Migori,183.55,169.15,163.37
185,Isebania,183.83,169.44,163.65
186,Bomet,182.99,168.6,162.81
187,Muhoroni,182.11,167.71,161.93
188,Mbita,182.68,168.29,162.51
189,Mbale,181.87,167.49,161.7
190,Etago,183.33,168.93,163.16
191,Magenche,183.43,169.04,163.25
192,Kilgoris,183.26,168.87,163.09
193,Malava,182.24,167.84,162.06
194,Lugari,182.63,168.23,162.45
195,Rodi Kopany,182.76,168.36,162.58
196,Ndhiwa,183.03,168.63,162.85
197,Rangwe,182.75,168.35,162.57
198,Sindo,182.76,168.36,162.58
199,Awasi,181.84,167.44,161.67
200,Ahero,181.87,167.49,161.7
201,Ugunja,182.3,167.91,162.13
202,Asembo,181.96,167.56,161.78
203,Usenge,182.43,168.04,162.26
204,Harambee,181.92,167.52,161.74
205,Muhuru Bay,183.69,169.3,163.51
206,Kehancha,183.92,169.53,163.75
207,Ntimaru,184.23,169.84,164.05
15th June 2023- 14th July 2023,,,,
,,MAXIMUM PUMP PRICES,,
,             ,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (IK)
,                      TOWNS, KShs/L , KShs/L , KShs/L 
208,Rongo,183.01,168.61,162.83
209,Kaspokwony,182.96,168.57,162.79
210,Chwele,182.91,168.52,162.73
211,Kimilili,182.83,168.44,162.66
212,Nambale,182.75,168.35,162.57
213,SioPort,182.74,168.34,162.56
214,Port Bunyala,182.78,168.39,162.61
215,Funyula,182.61,168.21,162.43
216,Ogembo,182.91,168.52,162.73
217,Nyangusu,183.17,168.78,162.99
218,Sengera,183.09,168.7,162.92
219,Keumbu,182.82,168.43,162.65
220,Marani,182.52,168.13,162.35
221,Kerina,182.89,168.49,162.71
222,Ikonge,182.24,167.84,162.06
223,Nyansiongo,182.64,168.25,162.46
