,"July 1 -July 14, 2023",MAXIMUM PUMP PRICES,,
,,Super Petrol (PMS),Automotive Diesel (AGO),Kerosene (DPK)
,TOWNS,KES/L,KES/L,KES/L
1,Mombasa,192.48,176.63,170.4
2,Kilifi,193.24,177.4,171.17
3,Likoni Mainland,192.86,177.02,170.79
4,Kwale,192.86,177.02,170.79
5,Malindi,193.47,177.62,171.39
6,Lungalunga,193.63,177.78,171.55
7,Voi,194.07,178.21,171.99
8,Taveta,195.58,179.73,173.5
9,Lamu,196.03,180.17,173.95
10,Hola,196.33,180.48,174.26
11,Mpeketoni,196.03,180.17,173.95
12,Minjila,194.91,179.07,172.84
13,Garsen,195.01,179.16,172.93
14,Samburu,192.8,176.95,170.73
15,Taru,193,177.14,170.93
16,Mwatate,194.43,178.58,172.35
17,Wundanji,194.6,178.76,172.54
18,Kaloleni,192.65,176.8,170.58
19,Marereni,194.17,178.33,172.1
20,Nairobi,195.53,179.67,173.44
21,Thika,195.53,179.67,173.44
22,Machakos,195.78,179.92,173.69
23,Kajiado,195.97,180.11,173.88
24,Makuyu,195.83,179.97,173.75
25,Muranga,196.09,180.23,174
26,Sagana,196.32,180.46,174.23
27,Embu,196.71,180.86,174.63
28,Kerugoya,196.63,180.76,174.53
29,Narok,197.01,181.16,174.93
30,Nyeri,197,181.15,174.92
31,Namanga,197.19,181.32,175.09
32,Kiganjo,196.96,181.1,174.87
33,Chuka,197.28,181.42,175.19
34,Kitui,197.17,181.31,175.08
35,Mwingi,197.58,181.73,175.5
36,Nanyuki,197.6,181.74,175.51
37,Nkubu,198.64,182.78,176.55
38,Mtito Andei,198.14,182.28,176.05
39,Meru,198.85,182.99,176.76
40,Isiolo,198.7,182.84,176.61
41,Maua,199.33,183.48,177.25
42,Garissa,200.01,184.14,177.91
43,Marsabit,203.96,188.11,181.88
44,Liboi,202.98,187.12,180.89
45,Moyale,205.66,189.8,183.57
46,Sololo,204.65,188.78,182.55
47,Habaswein,202.9,187.04,180.81
48,Dadaab,201.49,185.63,179.4
49,Tarbaj,205.31,189.45,183.22
50,Elwak,207.04,191.17,184.94
51,Wajir,205.47,189.61,183.38
52,Modogashe,203.05,187.19,180.96
53,Mandera,209.53,193.67,187.44
54,Matuu,196.49,180.62,174.41
55,Merti,201.27,185.4,179.17
56,Oldonyiro,198.06,182.2,175.97
57,Eldas,207.38,191.52,185.29
58,Bute,204.2,188.34,182.11
59,Hadado,202.69,186.83,180.6
60,Mai Mahiu,195.66,179.8,173.57
61,Doldo,198.42,182.56,176.33
62,Lamuria,197.48,181.62,175.39
63,Sipili,198.41,182.55,176.32
64,Marimanti,198,182.14,175.91
65,Mutuobare,197.29,181.44,175.21
66,North Horr,204.99,189.13,182.9
67,Maikona,203.5,187.64,181.41
68,Kalacha,204.09,188.23,182
69,Loyangalani,204.16,188.3,182.07
70,Turbi,203.95,188.09,181.86
71,Laisamis,200.95,185.09,178.86
72,Merille,200.63,184.77,178.54
73,Korr,201.96,186.1,179.87
74,Nakuru,194.6,179.14,172.93
75,Gilgil,194.56,179.09,172.89
76,Mogotio,194.54,179.08,172.87
77,Molo,194.64,179.17,172.97
78,Olenguruone,195.39,179.93,173.72
79,Londiani,194.88,179.42,173.2
80,Nyahururu,194.86,179.41,173.19
81,Archers Post,198.07,182.61,176.4
82,Lodosoit,199.25,183.79,177.58
83,Naivasha,194.95,179.49,173.28
84,Marigat,195.38,179.92,173.71
85,Kabarnet ,195.9,180.45,174.23
86,Maralal,197.07,181.61,175.4
87,Wamba,197.98,182.51,176.31
88,Rumuruti,195.45,179.99,173.78
89,Eldoret,195.36,179.89,173.69
90,Kiplombe,195.36,179.89,173.69
91,Iten,195.36,179.89,173.69
92,Naiberi,195.36,179.89,173.69
93,Kesses,195.36,179.89,173.69
94,Kapsabet,195.37,179.91,173.7
95,Webuye,195.81,180.36,174.14
96,Kitale,195.74,180.29,174.07
97,Kapenguria ,196.42,180.96,174.75
98,Bungoma,196.18,180.72,174.5
99,Moiben,195.37,179.91,173.7
100,Matunda,195.34,179.88,173.67
101,Burnt Forest,195.3,179.84,173.63
102,Tambach,195.39,179.94,173.72
103,Kapsowar,195.9,180.44,174.23
104,Chebara,195.77,180.31,174.1
105,Kimwarer,195.69,180.23,174.02
106,Timboroa,195.6,180.15,173.93
107,Nandi Hills,195.56,180.1,173.9
108,Kaiboi,195.41,179.95,173.74
109,Kiminini,195.94,180.48,174.27
110,Endebes,196.32,180.86,174.64
111,Saboti,195.97,180.51,174.3
112,Chepareria,196.64,181.19,174.97
113,Lomut,198.38,182.92,176.71
114,Burgich,197.09,181.63,175.43
115,Sigor,197.23,181.77,175.57
116,Lodwar,199.84,184.38,178.18
117,Kakuma,201.55,186.09,179.88
118,Lokichar,198.77,183.31,177.1
119,Kalokol,200.66,185.21,178.99
120,Lokori,199.16,183.7,177.49
121,Lokitaung,203.75,188.3,182.09
122,Kapedo,198.38,182.92,176.71
123,Malaba,196.61,181.15,174.94
124,Lokichogio,202.83,187.36,181.16
125,Ziwa,195.56,180.1,173.9
126,Soy,195.36,179.89,173.69
127,Moi's Bridge,195.43,179.96,173.76
128,Turbo,195.3,179.84,173.63
129,Kibish,204.01,188.55,182.34
130,Nakalale,202.74,187.28,181.08
131,Loima,198.89,183.44,177.23
132,Lokiriama,200.58,185.11,178.91
133,Kainuk,197.57,182.12,175.9
134,Kacheliba,196.85,181.4,175.18
135,Kiwawa,197.51,182.05,175.83
136,Ortum,197.06,181.61,175.39
137,Kachibora,195.77,180.31,174.1
138,Kwanza,196.54,181.08,174.87
139,Kaplamai,195.8,180.34,174.13
140,Eldama Ravine,196.25,180.79,174.57
141,Tenges,196.4,180.94,174.73
142,Barwessa,196.52,181.06,174.85
143,Kipsaraman,197.49,182.04,175.82
144,Loruk,197.35,181.9,175.68
145,Kabartonjo,196.25,180.79,174.57
146,Tindiret,196.32,180.86,174.64
147,O'lessos,195.43,179.96,173.76
148,Kobujoi,195.85,180.39,174.19
149,Serem,195.94,180.48,174.27
150,Kabiyet,195.36,179.89,173.69
151,Cheptulu,195.81,180.36,174.14
152,Songor,196.4,180.94,174.73
153,Kapcherop,196.01,180.55,174.34
154,Sambalat,196.75,181.28,175.08
155,Arror,196.37,180.91,174.7
156,Tot,196.59,181.13,174.92
157,Kaptarakwa,195.56,180.1,173.9
158,Kapese,198.73,183.27,177.06
159,Kalemngorok,198.08,182.62,176.41
160,Marich,196.98,181.52,175.31
161,Alale,197.51,182.05,175.83
162,Kunyao,197.14,181.69,175.47
163,Asilong,196.7,181.24,175.03
164,Orolwo,196.75,181.28,175.08
165,Sebit,196.69,181.23,175.02
166,Morpus,196.59,181.13,174.92
167,Chepkorniswo,196.47,181.01,174.8
168,Kaibichbich,196.41,180.95,174.74
169,Keringet,196.12,180.66,174.45
170,Kisumu,195.34,179.89,173.68
171,Sondu,195.46,180,173.79
172,Oyugis,195.98,180.52,174.3
173,Kakamega,195.4,179.94,173.73
174,Mumias,195.69,180.24,174.02
175,Bondo,195.58,180.11,173.91
176,Siaya,195.7,180.25,174.04
177,Kericho,195.89,180.44,174.22
178,Nyamira,195.96,180.51,174.29
179,Kisii,196.3,180.83,174.63
180,Sotik,196.11,180.65,174.44
181,Keroka,196.31,180.84,174.64
182,Busia,196.28,180.82,174.61
183,Homabay,196.23,180.76,174.56
184,Migori,197.14,181.68,175.47
185,Isebania,197.44,181.99,175.78
186,Bomet,196.55,181.09,174.87
187,Muhoroni,195.6,180.14,173.93
188,Mbita,196.21,180.75,174.54
189,Mbale,195.34,179.89,173.68
190,Etago,196.91,181.45,175.24
191,Magenche,197.01,181.56,175.35
192,Kilgoris,196.84,181.38,175.17
193,Malava,195.74,180.28,174.07
194,Lugari,196.16,180.69,174.49
195,Rodi Kopany,196.3,180.83,174.63
196,Ndhiwa,196.59,181.12,174.92
197,Rangwe,196.28,180.82,174.61
198,Sindo,196.3,180.83,174.63
199,Awasi,195.31,179.85,173.64
200,Ahero,195.34,179.89,173.68
201,Ugunja,195.81,180.35,174.14
202,Asembo,195.44,179.97,173.77
203,Usenge,195.95,180.48,174.28
204,Harambee,195.39,179.93,173.72
205,Muhuru Bay,197.29,181.84,175.62
206,Kehancha,197.55,182.09,175.88
207,Ntimaru,197.87,182.42,176.2
208,Rongo,196.56,181.1,174.89
209,Kaspokwony,196.52,181.05,174.85
210,Chwele,196.46,181.01,174.79
211,Kimilili,196.38,180.91,174.71
212,Nambale,196.28,180.82,174.61
213,SioPort,196.27,180.81,174.6
214,Port Bunyala,196.32,180.87,174.65
215,Funyula,196.13,180.67,174.46
216,Ogembo,196.46,181.01,174.79
217,Nyangusu,196.74,181.28,175.07
218,Sengera,196.65,181.19,174.99
219,Keumbu,196.36,180.9,174.7
220,Marani,196.04,180.59,174.37
221,Kerina,196.43,180.97,174.77
222,Ikonge,195.74,180.28,174.07
223,Nyansiongo,196.17,180.72,174.5
